0	Henry	was	Governor Edwin Washington Edwards's choice for Speaker	0.9481947648689547	0	0	[0, 5)	[6, 9)	[10, 64)	Henry was Governor Edwin Washington Edwards's choice for Speaker .
1	Mrs. Yogeswaran	was shot with a pistol near her Jaffna home	five times	0.9246715697529401	0	0	[0, 15)	[16, 24), [36, 70)	[25, 35)	Mrs. Yogeswaran was shot five times with a pistol near her Jaffna home on May 17 , 1998 .
1	Mrs. Yogeswaran	was shot with	a pistol near her Jaffna home	0.8433894019474816	0	0	[0, 15)	[16, 24), [36, 40)	[41, 70)	Mrs. Yogeswaran was shot five times with a pistol near her Jaffna home on May 17 , 1998 .
1	Mrs. Yogeswaran	was shot with a pistol near her Jaffna home on	May 17 , 1998	0.9084353254608957	0	0	[0, 15)	[16, 24), [36, 70), [71, 73)	[74, 87)	Mrs. Yogeswaran was shot five times with a pistol near her Jaffna home on May 17 , 1998 .
2	Girard	has	a bachelor's degree in political sciences	0.9383119524695255	0	0	[0, 6)	[7, 10)	[11, 52)	Girard has a bachelor's degree in political sciences at the Universite de Montreal and did studies for the master's degree in industrial relations .
2	Girard	has a bachelor 's degree in political sciences at	the Universite de Montreal	0.9324144673478683	0	0	[0, 6)	[7, 10), [11, 52), [53, 55)	[56, 82)	Girard has a bachelor's degree in political sciences at the Universite de Montreal and did studies for the master's degree in industrial relations .
3	It	was	#109	0.27813615858960106	0	0	[0, 2)	[3, 6)	[7, 11)	It was #109 on the Billboard 200 chart .
4	Robert Barnard	born	23 November 1936	0.9445721975409912	0	0	[0, 14)	[17, 21)	[22, 38)	Robert Barnard ( born 23 November 1936 ) is an English crime writer , critic and lecturer .
4	Robert Barnard	is	an English crime writer , critic and lecturer	0.9445721975409912	0	0	[0, 14)	[41, 43)	[44, 89)	Robert Barnard ( born 23 November 1936 ) is an English crime writer , critic and lecturer .
5	The secretary/music director for the church	is	wary of changes for the congregation	0.9491120693414258	0	0	[0, 43)	[69, 71)	[72, 108)	The secretary/music director for the church , Anne ( Susan Clark ) , is wary of changes for the congregation intended by Hill .
5	the congregation	intended by	Hill	0.9180804252893389	0	0	[92, 108)	[109, 117), [118, 120)	[121, 125)	The secretary/music director for the church , Anne ( Susan Clark ) , is wary of changes for the congregation intended by Hill .
6	Doing Time on Maple Drive	was released on	September 7	0.9180788073964288	0	0	[3, 28)	[31, 43), [60, 62)	[63, 74)	 " Doing Time on Maple Drive " was released on Region 1 DVD on September 7 , 2004 .
7	It	includes	mountains reaching an altitude of above sea level	0.41051436014453063	0	0	[0, 2)	[17, 25)	[26, 75)	It comprises and includes mountains reaching an altitude of above sea level .
7	mountains	reaching	an altitude of above sea level	0.8942434158739456	0	0	[26, 35)	[36, 44)	[45, 75)	It comprises and includes mountains reaching an altitude of above sea level .
8	He	starred as	Lancelot	0.4978219019954182	0	0	[0, 2)	[3, 10), [11, 13)	[14, 22)	He starred as Lancelot in the national tour of " Spamalot " from 2006 through 2008 .
9	the musical	were criticized by	some religious groups	0.5682555286682759	0	0	[20, 31)	[32, 47), [48, 50)	[51, 72)	The film as well as the musical were criticized by some religious groups .
10	Richards	is given	the chance to become a Hunter by Killian	0.9324144673478683	0	0	[17, 25)	[26, 34)	[35, 75)	As in the film , Richards is given the chance to become a Hunter by Killian , though unlike in the film , he accepts .
11	The film	debuted on	October 30 , 1968	0.9180804252893389	0	0	[0, 8)	[9, 16), [17, 19)	[20, 37)	The film debuted on October 30 , 1968 ( December 29 , 1968 London premiere .
12	The Arab nationalists	aimed to	remove British imperial influence in Iraq	0.8937610516172411	0	0	[0, 21)	[22, 27), [40, 42)	[43, 84)	The Arab nationalists aimed , in part , to remove British imperial influence in Iraq .
13	A sequel , in name only	called	Return of the Ape Man	0.9207723253620487	0	0	[0, 23)	[26, 32)	[35, 56)	A sequel , in name only , called " Return of the Ape Man " , followed in 1944 , one year later after this film and starred Bela Lugosi , John Carradine and George Zucco .
13	A sequel , in name only , called " Return of the Ape Man "	followed in	1944	0.9296608514712587	0	0	[0, 58)	[61, 69), [70, 72)	[73, 77)	A sequel , in name only , called " Return of the Ape Man " , followed in 1944 , one year later after this film and starred Bela Lugosi , John Carradine and George Zucco .
14	Dr.Gayatri	is researching	the esoteric practices like voodoo , spirit possession , magic and healing powers	0.9395490589944211	0	0	[0, 10)	[28, 42)	[43, 124)	Dr.Gayatri ( Bipasha Basu ) is researching the esoteric practices like voodoo , spirit possession , magic and healing powers .
16	This version	was cut down to	100-minutes in length	0.9030401971054747	0	0	[0, 12)	[13, 25), [26, 28)	[29, 50)	This version was cut down to 100-minutes in length .
